Adult (15+) literacy rate (%). Total,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,18.1576811342053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7129780776867,,,,,,,95.9386397822897,,,96.8452991514299
Algeria,,,,,,,,,,,,,49.630884834899,,,,,,,,,,,,,,,69.8735004434486,,,,72.6486791729118,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4054160382926,,,,,,,,,,70.36242
Anguilla,,,,,,,,,,95.4070981210856,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,98.95,,,,,,,,,,98.95
Argentina,,,,,,93.9128597082666,,,,,,,,,,,96.1281958552696,,,,,,,,,,97.1933115834792,,,,,,,,,,97.85877
Armenia,,,,,,,,,,,,,,,98.7519649303406,,,,,,,,,,,,99.4001565166496,,,,,,,,,,99.56817
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,97.2912521241522,,,,,,,,,,96.8226400949585,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,98.7918027041485,,,,,,,,99.6019062009647,,99.7598406747891,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,69.7535140924992,,,,,,,,,,84.013829627317,,,,,,,,,,86.548744232634,,,,,,,,,94.5567917987051,
Bangladesh,,,,,,,29.2272326765532,,,,,,,,,,35.3192956177543,,,,,,,,,,47.48550010368,,,,,,,,,,57.73479
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,97.8833721495662,,,,,,,,,,99.5907324275548,,,,,,,,,,99.6170606016854,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,70.2984226365169,,,,,,,,,,,,,,,,,,,,
Benin,,,,,16.4827944952765,,,,,,,,,,,,,27.2452503283551,,,,,,,,,,34.6578467676293,,,,28.7021114520994,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8146910733613,,,,,,
Bolivia,,63.2081491618074,,,,,,,,,,,,,,,,79.9917747849074,,,,,,,,,86.7236666158788,,,,,,90.7434698727354,90.6981056181136,91.1678254605258,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,96.6630984459784,,,,,,,,,,,98.00262
Botswana,,,,,,,,,,,,,,,,,68.5809087315753,,,,,,,,,,,,81.1887097498112,,,,,,,,85.09085
Brazil,,,,,,74.5867284380378,,,,,,,,,,,,,,,,,,,,86.3678796176937,,,,88.6162425254196,,89.6152270013173,90.0093695609266,90.0366199363756,90.2982098440094,90.3791774371346,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,77.8342121915208,,,,,,,,,,87.8041776069017,,,,,,,,,,92.6711277443389,,,,,,,,,,95.447
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2035557670328,,,,,,,,,,98.3524481093228
Burkina Faso,8.68514544078804,,,,,,,,,,,,,,,,13.5692319572406,,,,,12.8481689342596,,,,,,,21.8229162428494,,23.5537181150355,,28.7292135965511,,,,
Burundi,,,,,22.5085507598959,,,,,,,,,,,37.3847234431165,,,,,,,,,,59.3036211699164,,,,,,,,86.9478703795691,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,67.3350295571421,,,,,,73.6099547737819,,,,77.5865427269882,73.9000255707423,,
Cameroon,,41.2162111674075,,,,,,,,,,,,,,,,,,,,,,,,68.409159385357,,,,,,,70.6799377977052,,,71.2905077302749,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,62.7968590398366,,,,,,,,,,,,,,79.99211,,,,,,,84.93627
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.867823243784,,,,
Central African Rep.,18.2361715024611,,,,,,,,,,,,,33.6244222189088,,,,,,,,,,,,50.6451688172294,,,,,,,,,,,56.613
Chad,,,,,,,,,,,,,,,,,,,10.8946531408644,,,,,,,25.654214875994,,,,28.3814337012901,,,,,,,35.39147
Chile,,,,,,,,91.1284037264823,,,,,,,,,,94.2911367986162,,,,,,,,,,95.7166242261816,,,,,,98.6490080207966,98.5536760932911,,
China,,,,,,,,65.5050857281018,,,,,,,,77.7850586373638,,,,,,,,,,90.9202103765714,,,,,,,,,,95.1244771055825,
Colombia,,,,,,,,,,,,,,,,,,,81.3755544712249,,,91.2071618552533,,,,,,,,92.8037765497774,92.8486622124956,92.2996787174521,92.6517943076772,93.378176366906,93.2446864346351,93.372328689547,93.5805336423026
Comoros,,,,,,47.9192331608649,,,,,,,,,,,,,,,,,,,,68.4892343428929,,,,,,,,,,,75.53978
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,67.1729897055648,,,,,,61.2055452473384,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,92.6290420156222,,,,,,,,,,,,,,,,94.8681870553087,,,,,,,,,,,96.25802
Cote d'Ivoire,,,,,,,,,,,,,,34.1392783603934,,,,,,,,,,36.3502420108432,,48.7407620004305,,,,,,,,,,,56.86751
Croatia,,,,,,,,,,,,,,,,,96.7015479603041,,,,,,,,,,98.1466783935164,,,,,,,,,,98.8807
Cuba,,,,,,,97.8466504241794,,,,,,,,,,,,,,,,,,,,,99.7990743571252,,,,,,,,,99.83425
Cyprus,,,,,,,,,,,,,,,,,,94.3624701971188,,,,,,,,,96.8036309117966,,,,,,,,,,98.6784255498616
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,73.0645685435239,,,,,,,,,,,,,,,,,,,,,86.9964674553766,,,,,88.2444613036299,,,89.5387331937107,90.1062678813442
Ecuador,,,,,,,,83.5526860606578,,,,,,,,88.2987629813343,,,,,,,,,,,90.9840255977219,,,,,,84.1927228758109,,84.2069647819798,91.8540406535122,91.5868984864864
Egypt,,38.1967645625644,,,,,,,,,,44.4239933168487,,,,,,,,,,55.5869966863656,,,,,,,,,71.4088636088008,66.3699070435487,,,,72.0478526521968,72.9567194486944
El Salvador,,,,,,,,,,,,,,,,,,74.1431618164629,,,,,,,,,,,,79.82584,,83.5594576659337,82.0286341373231,83.951304976523,84.1028877512293,84.4927239035347,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,88.3083011062146,,,,,,,,,,,94.22589
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5139512491258,,,,,,,,,68.93744
Estonia,,,,,,,,,,,,,,,99.7264407467699,,,,,,,,,,,99.7671959219526,,,,,,,,,,,99.79689
Ethiopia,,,,,,,,,,,,,,,,,,,,27.011355310038,,,,,,,,,,35.9,29.8203379588666,,38.9959815360089,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,72.2336718882752,,,,,,,,,,,83.80069,,,,,,,88.98886
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,36.8177265898848,,,,,,,,,,,51.10727
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6523489544112,,,,,,,,,99.73247
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,57.8974728677536,,,,,,,,,,71.4970748121518,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,90.5123237162869,,,,,,,,,,92.6104514422769,,,,,,,,,,95.9943592275286,,,,,,,,,,97.3018
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,64.2116415135022,,,,,,,,69.1017276395349,,,,,,,,,75.85726
Guinea,,,,,,,,,,,,,,,,,,,,,,20.5537486564581,,,,,,,29.7040169133192,,,,,,,25.3077454885807,
Guinea-Bissau,,,,,19.958248396327,,,,,,,,,,,,,,,,,,,,,41.3577675968347,,,,,,,,,,,55.27518
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9940112811714,,
Haiti,,,,,,,,34.7346924690633,,,,,,,,,,,,,,,,,,,,,58.7439033363021,,,48.6850220623879,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0110317619977,,,,,,83.5889940225326,,,84.7553618214236,85.1233107908221
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,98.8582852649705,,,,,,,,,,,,,,98.98274,,,,,,,,,,99.02997,,,,,,,99.04719
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,40.7635902223541,,,,,,,,,,48.2220748411133,,,,,,,,,,61.0145563688025,,,,,62.7544745734379,,,,,62.7544745734379
Indonesia,,,,,,67.312671922061,,,,,,,,,,81.5198524304659,,,,,,,,,,,,,,90.384789355174,,91.9822712715058,,92.192300708239,92.5816951242636,,92.8119075721191
Iran,,36.5184002676623,,,,,,,,,,52.3197554169018,,,,,65.53140001968,,,,,73.0602547122563,,,,,,77,,,82.4411966304572,82.3313175163483,,85.018766983634,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,74.0522011289752,,,,,,,,,,,78.48049
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,91.7514084779236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,96.4605426910086,,,,,,,,,,,,,,,,,,,,98.4166220467208,,,,,,,,,,98.97965
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,79.9201232980103,,,,,,,,,,,,87.04274
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,66.7968082652302,,,,,,,,,,,,,,,,,,,,,,,,89.8923242488958,,91.1307516377873,,92.1995768836011,,,92.5510428907168,95.9044529814974
Kazakhstan,,,,,,,,,,,,,,,97.5293835002603,,,,,,,,,,99.5126580772805,,,,,,,,,,99.7324110439465,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,82.2290753144124,,,,,,,72.1570281562013,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9982624282257,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,59.5643924006983,,,,,67.5176581973803,,,,,74.49086751177,,,,,,,,,,78.3955033585722,,,,,,,,,,93.2744643451759,93.2821228883455,93.6641851484411,93.9062059463896,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,98.7016125901096,,,,,,,,,,99.2414048802828,,
Laos,,,,,,,,,,,,,,,,,,,,,60.2513331987559,,,,,69.583118888317,68.7343946461164,,,,72.7022591985263,,,,,,
Latvia,,,,,,,,,,,,,,,99.4523003528358,,,,,,,,,,,99.7465699355505,,,,,,,,,,,99.78424
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6124388817029,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,86.2544348707552,,,,,,,,,75.8002023157404,,
Liberia,,,,,,,,,,32.1067661646571,,,,,,,,,,43.46086,,,,,,,,,,54.77813,,,42.941084070437,,,,
Libya,,,,,,,,,,60.1643933296659,,,,,,,,,,77.21518,,,,,,,,,,86.11627,,,,,,,89.5361
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,98.4412675026719,,,,,,,,,,,,99.6457534683578,,,,,,,,,,99.70355
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,90.3781843022932,,,,,,,,,,,,,,,,,,,,91.2953720375117,,,,,93.4997545260003,,,,,95.6400408521411
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,94.0587463801134,,,,,,,,96.1289327575571,,,,,,,,,97.3752
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,70.6861695802117,,,,,,,,,64.4809056434688,,
Malawi,,,,,,,,,,,,,48.5366537251455,,,,,,,,,,,64.1342511384478,,,,,,,,,,,,61.3097241896233,
Malaysia,,,,,,69.5163324983461,,,,,,,,,,,82.9153712456078,,,,,,,,,88.6877571569162,,,,,,,,,,93.1178855805975,
Maldives,,,82.2999551540778,,,,,,,,92.2300510292779,,,,,96.0182563571244,,,,,96.3264955797786,,,,,96.3264955797786,,,,,,98.397897943952,,,,,
Mali,,9.43380700805728,,,,,,,,,,,,,,,,,,,,,,19.0449716644285,,,,,24,,,26.1765546402593,,,,31.0997539511672,33.4412123107456
Malta,,,,,,,,,,,87.9821734755061,,,,,,,,,,87.8686966410374,,,,,,,,,,92.3630900571129,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,51.2076779828527,,,,,,,,,,,58.61391
Mauritius,,,,,,,,,,,,,,,,79.8686597254603,,,,,,,,,,84.3030890427418,,,,,,,,,,,88.84715
